日時,地下水位,X3,気圧,地球潮汐
8104030200,6.3668,5.9,1005.52,-8.42
8104030210,6.3664,5.9,1005.83,-17.46
8104030220,6.3663,5.9,1005.67,-26.32
8104030230,6.365,5.9,1005.75,-34.93
8104030240,6.3653,5.9,1005.83,-43.25
8104030250,6.3692,5.9,1005.67,-51.21
8104030300,6.3653,5.9,1005.83,-58.76
8104030310,6.3642,5.9,1005.9,-65.86
8104030320,6.3643,5.9,1006.27,-72.46
8104030330,NA,NA,NA,-78.51
8104030340,NA,NA,NA,-83.97
8104030350,6.3626,5.9,1005.9,-88.82
8104030400,NA,NA,NA,-93.02
8104030410,6.3623,5.9,1006.12,-96.55
8104030420,6.3615,5.9,1006.2,-99.38
8104030430,6.3615,5.9,1006.27,-101.5
8104030440,NA,NA,NA,-102.9
8104030450,6.361,5.9,1006.35,-103.57
8104030500,6.3608,5.9,1006.8,-103.51
8104030510,6.3603,5.9,1006.95,-102.73
8104030520,6.3593,5.9,1006.95,-101.24
8104030530,6.3626,5.9,1006.8,-99.04
8104030540,6.357,5.9,1007.02,-96.17
8104030550,6.3563,5.9,1007.17,-92.64
8104030600,6.3559,5.9,1007.1,-88.49
8104030610,6.3551,5.9,1007.33,-83.74
8104030620,6.3546,5.9,1007.25,-78.44
8104030630,6.3538,5.9,1007.7,-72.63
8104030640,6.3517,5.9,1007.62,-66.35
8104030650,6.3512,5.9,1007.77,-59.66
8104030700,6.3508,5.9,1007.77,-52.6
8104030710,NA,NA,NA,-45.22
8104030720,6.3492,5.9,1008,-37.59
8104030730,NA,NA,NA,-29.76
8104030740,6.3483,5.9,1008.08,-21.79
8104030750,6.3471,5.9,1008.15,-13.74
8104030800,6.3458,5.9,1008.15,-5.68
8104030810,6.3442,5.9,1008.38,2.34
8104030820,6.3433,5.9,1008.6,10.26
8104030830,6.3426,5.9,1008.52,18.01
8104030840,6.3429,5.9,1008.38,25.55
8104030850,6.3418,5.9,1008.45,32.81
8104030900,6.341,5.9,1008.67,39.73
8104030910,6.3403,5.9,1008.45,46.27
8104030920,6.3389,5.9,1008.6,52.38
8104030930,6.3391,5.9,1008.38,58.01
8104030940,6.3389,5.9,1008.67,63.13
8104030950,6.3385,5.9,1008.83,67.68
8104031000,6.3425,5.9,1008.45,71.64
8104031010,6.3357,5.9,1008.67,74.99
8104031020,6.3351,5.9,1008.52,77.68
8104031030,6.3356,5.9,1008.6,79.71
8104031040,6.3356,5.9,1008.67,81.06
8104031050,6.3347,5.9,1008.52,81.72
8104031100,NA,NA,NA,81.68
8104031110,6.3361,5.9,1008.3,80.95
8104031120,NA,NA,NA,79.53
8104031130,NA,NA,NA,77.44
8104031140,6.3353,5.9,1008.23,74.68
8104031150,NA,NA,NA,71.28
8104031200,6.3403,5.9,1008.38,67.27
8104031210,6.3366,5.9,1008.45,62.67
8104031220,6.3365,5.9,1008.6,57.52
8104031230,6.3375,5.9,1008.15,51.87
8104031240,6.3374,5.9,1007.92,45.75
8104031250,NA,NA,NA,39.2
8104031300,6.3381,5.9,1007.85,32.29
8104031310,6.3386,5.9,1007.77,25.06
8104031320,6.3395,5.9,1007.77,17.57
8104031330,6.3407,5.9,1007.55,9.87
8104031340,6.3416,5.9,1007.33,2.03
8104031350,6.3416,5.9,1007.4,-5.9
8104031400,6.3432,5.9,1007.17,-13.85
8104031410,6.3446,5.9,1006.65,-21.77
8104031420,6.3459,5.9,1006.65,-29.59
8104031430,6.3461,5.9,1006.58,-37.25
8104031440,6.3464,5.9,1006.5,-44.69
8104031450,6.3469,5.9,1006.42,-51.86
8104031500,6.3524,5.9,1006.5,-58.69
8104031510,6.3494,5.9,1006.35,-65.14
8104031520,NA,NA,NA,-71.15
8104031530,6.3519,5.9,1006.12,-76.67
8104031540,6.3518,5.9,1006.2,-81.66
8104031550,6.3526,5.9,1006.2,-86.09
8104031600,6.3536,5.9,1006.35,-89.9
8104031610,6.3533,5.9,1006.2,-93.07
8104031620,6.3538,5.9,1006.12,-95.58
8104031630,6.3541,5.9,1005.98,-97.39
8104031640,NA,NA,NA,-98.5
8104031650,6.3547,5.9,1006.35,-98.88
8104031700,6.3563,5.9,1006.2,-98.53
8104031710,6.3549,5.9,1006.73,-97.45
8104031720,6.3548,5.9,1006.5,-95.65
8104031730,6.3541,5.9,1006.73,-93.12
8104031740,6.3539,5.9,1007.02,-89.89
8104031750,6.3536,5.9,1006.88,-85.97
8104031800,6.3569,5.9,1006.88,-81.39
8104031810,6.3506,5.9,1007.4,-76.18
8104031820,6.3501,5.9,1007.25,-70.36
8104031830,6.3498,5.9,1007.4,-63.99
8104031840,6.3488,5.9,1007.77,-57.1
8104031850,6.3474,5.9,1007.77,-49.74
8104031900,6.3464,5.9,1008,-41.95
8104031910,6.3454,5.9,1008.38,-33.8
8104031920,6.3441,5.9,1008.3,-25.33
8104031930,6.3433,5.9,1008.3,-16.62
8104031940,6.3426,5.9,1008.52,-7.71
8104031950,NA,NA,NA,1.33
8104032000,NA,NA,NA,10.44
8104032010,6.3384,5.9,1008.67,19.55
8104032020,6.3384,5.9,1008.45,28.6
8104032030,6.3378,5.9,1008.67,37.52
8104032040,6.3366,5.9,1008.75,46.25
8104032050,6.3341,5.9,1008.83,54.72
8104032100,6.3383,5.9,1008.75,62.89
8104032110,6.3336,5.9,1008.6,70.68
8104032120,6.3326,5.9,1008.9,78.05
8104032130,6.3327,5.9,1008.67,84.93
8104032140,6.3327,5.9,1008.6,91.28
8104032150,6.3297,5.9,1008.75,97.06
8104032200,6.3292,5.9,1008.83,102.21
8104032210,6.3294,5.9,1008.83,106.71
8104032220,6.3283,5.9,1008.6,110.51
8104032230,6.3286,5.9,1008.83,113.6
8104032240,6.3294,5.9,1008.3,115.94
8104032250,6.3301,5.9,1008.38,117.52
8104032300,6.3298,5.9,1008.75,118.33
8104032310,6.3296,5.9,1008.6,118.35
8104032320,6.3304,5.9,1008.45,117.59
8104032330,NA,NA,NA,116.04
8104032340,6.3311,5.9,1008.3,113.73
8104032350,6.3308,5.9,1008.52,110.66
8104040000,6.3305,5.9,1008.08,106.85
8104040010,6.3311,5.9,1008.15,102.33
8104040020,6.3319,5.9,1008.15,97.14
8104040030,NA,NA,NA,91.29
8104040040,6.3335,5.9,1007.85,84.84
8104040050,6.3344,5.9,1008,77.84
8104040100,6.3336,5.9,1008.15,70.31
8104040110,6.3329,5.9,1007.77,62.33
8104040120,6.3343,5.9,1007.55,53.95
8104040130,6.335,5.9,1007.77,45.22
8104040140,6.3356,5.9,1007.77,36.2
8104040150,6.3371,5.9,1007.1,26.96
8104040200,6.3376,5.9,1007.4,17.57
8104040210,6.3384,5.9,1007.1,8.08
8104040220,6.3381,5.9,1007.1,-1.43
8104040230,6.339,5.9,1007.1,-10.9
8104040240,6.3401,5.9,1007.25,-20.26
8104040250,6.3407,5.9,1007.02,-29.44
8104040300,NA,NA,NA,-38.39
8104040310,6.3421,5.9,1007.1,-47.03
8104040320,6.3426,5.9,1007.33,-55.32
8104040330,6.343,5.9,1007.17,-63.17
8104040340,6.3431,5.9,1007.25,-70.56
8104040350,6.3443,5.9,1007.17,-77.41
8104040400,6.3451,5.9,1007.02,-83.69
8104040410,6.3458,5.9,1007.1,-89.34
8104040420,6.3463,5.9,1007.17,-94.33
8104040430,6.3469,5.9,1007.1,-98.63
8104040440,6.347,5.9,1007.17,-102.2
8104040450,6.3474,5.9,1007.25,-105.02
8104040500,6.3472,5.9,1007.25,-107.07
8104040510,6.3458,5.9,1007.25,-108.33
8104040520,6.3455,5.9,1007.25,-108.8
8104040530,6.3481,5.9,1007.25,-108.48
8104040540,6.3458,5.9,1007.7,-107.36
8104040550,6.3463,5.9,1007.33,-105.46
8104040600,6.3447,5.9,1007.55,-102.78
8104040610,6.3451,5.9,1007.55,-99.36
8104040620,6.3456,5.9,1007.4,-95.21
8104040630,6.3461,5.9,1007.55,-90.37
8104040640,6.346,5.9,1007.7,-84.87
8104040650,6.3437,5.9,1007.77,-78.74
8104040700,6.3437,5.9,1007.77,-72.05
8104040710,6.3439,5.9,1007.7,-64.82
8104040720,6.3445,5.9,1007.33,-57.12
8104040730,6.3441,5.9,1007.4,-49.01
8104040740,6.344,5.9,1007.55,-40.53
8104040750,6.3424,5.9,1007.77,-31.76
8104040800,6.3413,5.9,1007.62,-22.75
8104040810,6.3398,5.9,1007.77,-13.57
8104040820,6.3388,5.9,1007.92,-4.29
8104040830,6.3378,5.9,1008.23,5.02
8104040840,6.3375,5.9,1008.52,14.31
8104040850,6.3363,5.9,1008.45,23.49
8104040900,6.3358,5.9,1008.23,32.51
8104040910,NA,NA,NA,41.3
8104040920,6.3353,5.9,1008.15,49.79
8104040930,6.3358,5.9,1007.85,57.93
8104040940,6.3366,5.9,1007.77,65.66
8104040950,6.3372,5.9,1007.62,72.91
8104041000,6.3378,5.9,1007.48,79.65
8104041010,6.3383,5.9,1007.02,85.81
8104041020,6.3371,5.9,1007.02,91.35
8104041030,6.3372,5.9,1007.1,96.24
8104041040,6.3384,5.9,1006.88,100.44
